quarter,jet_usd_gal,usdcad,jet_cad_gal,jet_intra_q_move,trading_days
2015Q1,1.6278196721311475,1.2419262295081965,2.0230274327868853,0.08013774196783774,61.0
2015Q2,1.7577258064516128,1.2296774193548385,2.160267716129032,0.016690257136116937,62.0
2015Q3,1.4395967741935487,1.3097258064516126,1.8840977790322582,-0.09537112229982125,62.0
2015Q4,1.266770491803279,1.3354606557377051,1.6875010262295083,-0.2230816275137606,61.0
2016Q1,0.9932131147540983,1.3718918032786882,1.3597646950819673,0.15681427343078247,61.0
2016Q2,1.2753333333333334,1.2882793650793647,1.6428148253968253,0.2172095070422535,63.0
2016Q3,1.294645161290323,1.3053548387096776,1.689622170967742,0.058519999999999905,62.0
2016Q4,1.4337000000000004,1.3338783333333333,1.912104128333333,0.0211801860560914,60.0
2017Q1,1.4978225806451613,1.3239064516129033,1.9824889258064515,-0.049526897373122436,62.0
2017Q2,1.3975806451612904,1.344887096774194,1.879876248387097,-0.14192474192474214,62.0
2017Q3,1.5930491803278686,1.2521229508196723,1.991682040983606,0.252984212552946,61.0
2017Q4,1.74125,1.27128,2.2140912716666667,0.0907199710564397,60.0
2018Q1,1.8871147540983606,1.2650573770491804,2.3863653590163936,-0.050801044172595566,61.0
2018Q2,2.0860952380952376,1.2909444444444444,2.69321789047619,0.03805996121911215,63.0
2018Q3,2.133295081967213,1.3068672131147543,2.7876890672131145,0.04333627327119727,61.0
2018Q4,1.9932758620689657,1.3188948275862067,2.6246584672413795,-0.2371719502185149,58.0
2019Q1,1.8666065573770494,1.3294475409836066,2.4813006918032783,0.06137436126546225,61.0
2019Q2,1.9231774193548388,1.3376370967741937,2.572757179032258,-0.08065781151170148,62.0
2019Q3,1.8635081967213116,1.3208229508196716,2.4610418852459013,-0.02065835463508814,61.0
2019Q4,1.8576000000000001,1.319685,2.451195825,0.009641135511515575,60.0
2020Q1,1.4001612903225804,1.3455500000000002,1.8670075596774192,-0.49224556188125745,62.0
2020Q2,0.7620483870967739,1.3850516129032258,1.0514761709677418,0.6262080262080263,62.0
2020Q3,1.0680967741935485,1.3316661290322584,1.4223669419354839,-0.07870285188592474,62.0
2020Q4,1.1689,1.303061666666667,1.5208939333333333,0.26482778333571555,60.0
2021Q1,1.5673770491803276,1.2658819672131143,1.983355019672131,0.16971380352999077,61.0
2021Q2,1.7611774193548386,1.228517741935484,2.1628519112903226,0.11588947494605639,62.0
2021Q3,1.8964918032786884,1.2604163934426231,2.390450721311475,0.056695292620865034,61.0
2021Q4,2.190203389830508,1.259562711864407,2.7568949999999997,-0.09172493410878046,59.0
2022Q1,2.918983606557377,1.2664295081967214,3.6958762459016388,0.43283370180313585,61.0
2022Q2,3.987065573770492,1.2765606557377052,5.0918839147540975,0.055127566338328826,61.0
2022Q3,3.3492950819672136,1.3059459016393444,4.373403629508197,-0.05788695223456397,61.0
2022Q4,3.2509333333333337,1.358183333333333,4.417361431666667,-0.22561804406045194,60.0
2023Q1,2.991112903225806,1.3527451612903227,4.0425686999999995,-0.2560634723437898,62.0
2023Q2,2.2614590163934434,1.3429377049180329,3.036537472131148,-0.046367982400473795,61.0
2023Q3,2.8822622950819676,1.3417196721311475,3.8707911934426233,0.23691825893918983,61.0
2023Q4,2.6672372881355932,1.3622389830508475,3.6358080711864407,-0.1704199634814364,59.0
2024Q1,2.619983606557377,1.3487016393442623,3.533691009836066,0.005311003857261687,61.0
2024Q2,2.4630161290322587,1.3683274193548387,3.370036833870967,-0.08734859195292488,62.0
2024Q3,2.1975245901639346,1.3641131147540984,2.9987740540983605,-0.17784756513295197,61.0
2024Q4,2.0765081967213113,1.3982016393442618,2.903596696721311,0.013458007151831541,61.0
2025Q1,2.2231333333333327,1.4351783333333332,3.190579683333333,-0.11889542316543111,60.0
2025Q2,1.9982459016393443,1.3844409836065572,2.7658819754098363,0.05800762992344821,61.0
2025Q3,2.1223934426229505,1.3775426229508196,2.9231952180327867,-0.07268209349277821,61.0
2025Q4,2.1209180327868853,1.394577049180328,2.9591428606557373,-0.08497890098617478,61.0
2026Q1,2.7040983606557374,1.371495081967213,3.709173898360656,0.8620418010388713,61.0
2026Q2,3.6233934426229513,1.3838245901639346,5.006772993442624,-0.22621026519704357,61.0
2026Q3,3.652489361702127,1.3980595744680853,5.102730229787234,0.14877401767525011,47.0
