"Date","Price","Open","High","Low","Vol.","Change %"
"06/19/2026","81.62","82.81","82.81","81.35","17.14K","-1.44%"
"06/18/2026","82.81","81.64","83.31","81.44","35.55K","2.40%"
"06/17/2026","80.87","83.19","84.22","80.40","119.17K","-3.21%"
"06/16/2026","83.55","84.41","84.78","83.33","34.36K","-1.29%"
"06/15/2026","84.64","83.50","85.24","83.49","104.51K","1.76%"
"06/12/2026","83.18","82.00","83.43","82.00","25.42K","1.40%"
"06/11/2026","82.03","80.43","82.16","80.05","24.18K","2.00%"
"06/10/2026","80.42","81.41","81.88","80.08","34.79K","-2.21%"
"06/09/2026","82.24","81.82","83.50","80.94","30.16K","0.64%"
"06/08/2026","81.72","81.61","82.59","81.08","57.00K","0.20%"
"06/05/2026","81.56","82.40","82.40","81.30","31.03K","-1.21%"
"06/04/2026","82.56","81.82","83.12","81.78","69.01K","0.44%"
"06/03/2026","82.20","84.79","85.00","81.80","89.89K","-3.96%"
"06/02/2026","85.59","85.84","86.48","84.70","115.81K","-0.36%"
"06/01/2026","85.90","86.24","86.48","85.30","79.87K","-0.45%"
"05/29/2026","86.29","86.69","87.58","86.23","43.66K","-0.40%"
"05/28/2026","86.64","86.60","87.65","86.00","61.25K","-0.32%"
"05/27/2026","86.92","86.71","88.00","85.51","137.32K","0.74%"
"05/26/2026","86.28","86.76","86.76","84.90","48.47K","0.00%"
"05/25/2026","86.28","85.26","86.35","84.77","40.49K","1.75%"
"05/22/2026","84.80","85.00","85.49","84.12","34.24K","0.11%"
"05/21/2026","84.71","85.05","85.83","84.01","28.84K","-0.89%"
"05/20/2026","85.47","83.07","85.49","82.95","74.81K","3.01%"
